Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
10000813,Boots,"Unit 1,","2 Clonkeen Road,",Deansgrange,Blackrock,Dublin,Ladanac Ltd,A94 PY17,"Unit 1,
2 Clonkeen Road,
Deansgrange
Blackrock, Dublin A94 PY17"
10000818,The Pharmacy by Mulligans,Lower Ground Floor,Arnotts Department Store,10 - 15 Henry Street,Dublin 1,Dublin,Mulligans Chemists (Henry Street) Limited,D01C379,"Lower Ground Floor
Arnotts Department Store
10 - 15 Henry Street
Dublin 1, Dublin D01C379"
10000819,Chemist Warehouse,Unit 1,Ashbourne Retail Park,Ballybin Road,Ashbourne,Meath,CWIRE RETAIL 4 LTD,A84YD76,"Unit 1
Ashbourne Retail Park
Ballybin Road
Ashbourne, Meath A84YD76"
10000825,Healthwest Community Pharmacy Ballindine,Claremorris Road,,,Ballindine,Mayo,HWCP Ltd,F12K5F1,"Claremorris Road
Ballindine, Mayo F12K5F1"
10000827,Colleran's Pharmacy,The Square,,,Charlestown,Mayo,Colleran's Pharmacy Limited,F12WK29,"The Square
Charlestown, Mayo F12WK29"
10000831,Stamullen Pharmacy,6 Delvin Centre,Main St,,Stamullen,Meath,GOC Pharmacy Stamullen Limited,K32 EH31,"6 Delvin Centre
Main St
Stamullen, Meath K32 EH31"
10000838,Rathnew Pharmacy,2 The Merry Meeting Centre,Rathnew,Co. Wicklow,Rathnew,Co. Wicklow,Rathnew Pharmacy Limited,A67 T6T3,"2 The Merry Meeting Centre
Rathnew
Co. Wicklow
Rathnew, Co. Wicklow A67 T6T3"
10000844,Healthwise Pharmacy (Ballinasloe),Harbour Road,Poolboy,,Ballinasloe,Galway,Healthwise Pharmacies Ballinasloe Limited,H53C1X0,"Harbour Road
Poolboy
Ballinasloe, Galway H53C1X0"
10000847,Keatings Careplus Pharmacy,Unit 3,Crescent Court,St Nessans Road,Dooradoyle,Limerick,Bayvalley Limited,,"Unit 3
Crescent Court
St Nessans Road
Dooradoyle, Limerick"
10000848,Berehaven Pharmacy,Main Street,,,Castletownbere,Cork,Beara Pharmacy Limited,,"Main Street
Castletownbere, Cork"
10000851,Reens Life Pharmacy,Main Street,,,Millstreet,Cork,COPS Pharmacy,P51PN52,"Main Street
Millstreet, Cork P51PN52"
10000871,Kilmeaden Pharmacy,,,,Kilmeaden,Waterford,Adamstown Pharmacy Limited,,"Kilmeaden, Waterford"
10000872,Rathdowney Pharmacy,Main Street,,,Rathdowney,Laois,MK Flynn's Pharmacy Limited,R32YE04,"Main Street
Rathdowney, Laois R32YE04"
10000873,Cronin's Pharmacy,1 Edenmore Shopping Centre,,,Raheny,Dublin,Edenmore Pharmacy Limited,D05KP20,"1 Edenmore Shopping Centre
Raheny, Dublin D05KP20"
10000875,Grants Pharmacy,Unit 1 Neighbourhood Centre,Southern Cross Centre,Southern Cross Road,Bray,Wicklow,Grant's Pharmacy Gorey Limited,,"Unit 1 Neighbourhood Centre
Southern Cross Centre
Southern Cross Road
Bray, Wicklow"
10000880,Old County Life Pharmacy,111 Old County Road,,,Crumlin,Dublin,Aid Pharmacy Services Limited,D12HFK3,"111 Old County Road
Crumlin, Dublin D12HFK3"
10000881,Finnstown Pharmacy,Unit 4,Finnstown Centre,,Lucan,Dublin,Kacare Pharmacy Ltd,K78E078,"Unit 4
Finnstown Centre
Lucan, Dublin K78E078"
10000888,Wicklow Careplus Pharmacy,Units 5 & 6,Supervalu Centre,Church Street,Wicklow,Wicklow,McGrath and Connolly Ltd,A67A098,"Units 5 & 6
Supervalu Centre
Church Street
Wicklow, Wicklow A67A098"
10000889,Ferrybank Careplus Pharmacy,Unit 1,Ferrybank Mall,Ferrybank,Arklow,Wicklow,Ferrybank Pharmacy Limited,,"Unit 1
Ferrybank Mall
Ferrybank
Arklow, Wicklow"
10000891,O'Mearas Careplus,30 Upper Main Street,,,Arklow,Wicklow,O'Mearas Pharmacy Arklow Ltd,Y14 N6X4,"30 Upper Main Street
Arklow, Wicklow Y14 N6X4"
10000892,Newcastle Lyons Pharmacy,Unit 4,Newcastle Shopping Centre,Main Street,Newcastle,Co Dublin,Newcastle Lyons Pharmacy Limited,D22 X206,"Unit 4
Newcastle Shopping Centre
Main Street
Newcastle, Co Dublin D22 X206"
10000893,Audrey Dunne Life Pharmacy,Abbey Street,,,Castledermot,Kildare,Adsac Ltd,R14 DR60,"Abbey Street
Castledermot, Kildare R14 DR60"
10000895,Mulcahy's Pharmacy,118 Main Street,,,Mallow,Cork,Mulcahy's Pharmacy Ltd,,"118 Main Street
Mallow, Cork"
10000902,Séan Collins Pharmacy,Main Street,,,Killaloe,Clare,Sean Collins (Pharmacy) Limited,V94YPON,"Main Street
Killaloe, Clare V94YPON"
10000903,Clare Street Pharmacy Ltd,Clare Street,,,Nenagh,Tipperary,Clare Street Pharmacy Limited,E45 T275,"Clare Street
Nenagh, Tipperary E45 T275"
10000904,O'Donovan's Careplus Pharmacy,"Unit 2, Behan House",Arden Road,,Tullamore,Offaly,Mangofrost LTD,R35 H2P0,"Unit 2, Behan House
Arden Road
Tullamore, Offaly R35 H2P0"
10000905,Martin's Pharmacy,Main Street,,,Athboy,Meath,Athboy Pharmacy Limited,C15 T0VC,"Main Street
Athboy, Meath C15 T0VC"
10000906,Fehily's Pharmacy,28 South Main Street,Wexford,,Wexford,Wexford,Fehily's Pharmacy Limited,Y35E6PV,"28 South Main Street
Wexford
Wexford, Wexford Y35E6PV"
10000910,Crosshaven Pharmacy,Lower Point Rd.,,,Crosshaven,Cork,DT Pharmacy Ltd,P43 DT66,"Lower Point Rd.
Crosshaven, Cork P43 DT66"
10000911,McGreals Glenageary Pharmacy,Unit 3 Glenageary Shopping Centre,Glenageary Road Upper,,Glenageary,Dublin,Brennan's Pharmacy Glenageary Limited,A96 WC92,"Unit 3 Glenageary Shopping Centre
Glenageary Road Upper
Glenageary, Dublin A96 WC92"
10000915,Highfield Pharmacy,Kelmur House,Main Street,,Blessington,Wicklow,Highfield Veterinary Unlimited Company,W91RP8X,"Kelmur House
Main Street
Blessington, Wicklow W91RP8X"
10000923,Keanes Pharmacy Drumcondra Ltd,LIDL complex,9 Drumcondra Rd Upper,Drumcondra,Dublin 9,Dublin,Keanes Pharmacy Drumcondra Ltd,D09 Y880,"LIDL complex
9 Drumcondra Rd Upper
Drumcondra
Dublin 9, Dublin D09 Y880"
10000924,Anna Kelly Chemist,O Connors Shopping Centre,Martyr's Road,,Nenagh,Tipperary,Akaview Limited,E45 K389,"O Connors Shopping Centre
Martyr's Road
Nenagh, Tipperary E45 K389"
10000925,Walker's Chemist,Main Street,,,Enfield,Meath,Walker's Pharmacy Limited,A83 A409,"Main Street
Enfield, Meath A83 A409"
10000926,Woodview Pharmacy,Old Cratloe Road,,,Limerick,Limerick,Woodview Pharmacy Limited,V94 YW68,"Old Cratloe Road
Limerick, Limerick V94 YW68"
10000927,Healthwise Pharmacies Retail Park Milford,Unit 9,Milford Retail & Business Park,Glenkeen,Milford,Donegal,McCormick's Limited,F92 PXT8,"Unit 9
Milford Retail & Business Park
Glenkeen
Milford, Donegal F92 PXT8"
10000941,Johnstons Pharmacy,The Square,,,Castlerea,Roscommon,Loyalside Limted,F45CP20,"The Square
Castlerea, Roscommon F45CP20"
10000954,Ryders Pharmacy,Main Street,,,Ballinrobe,Mayo,Mainarch Limited,F31P950,"Main Street
Ballinrobe, Mayo F31P950"
10000955,Quinn's Chemist,Bridge Street,,,Crossmolina,Mayo,Crossmolina Pharmacy Limited,F26 FE06,"Bridge Street
Crossmolina, Mayo F26 FE06"
10000956,Mullins Pharmacy,Main Street,,,Charleville,Cork,Damestreak LTD,P56 WP03,"Main Street
Charleville, Cork P56 WP03"
5001,Adrian Dunne Pharmacy,12 Dublin Street,,,Balbriggan,Co. Dublin,Cronins' Pharmacy Limited,,"12 Dublin Street
Balbriggan, Co. Dublin"
5002,LloydsPharmacy,Units 7 - 11,Blackrock Shopping Centre,,Blackrock,Co. Dublin,Lloydspharmacy Ireland Limited,,"Units 7 - 11
Blackrock Shopping Centre
Blackrock, Co. Dublin"
5003,Crowley's Pharmacy,"207 Decies Road,",,,"Ballyfermot,",Dublin 10,Crowley's Pharmacy (Dublin) Limited,,"207 Decies Road,
Ballyfermot,, Dublin 10"
5005,Brookwood Pharmacy,42 Brookwood Rise,,,Artane,Dublin 5,Brookwood Pharmacy Limited,,"42 Brookwood Rise
Artane, Dublin 5"
5007,Dalkey Pharmacy Ltd,3 Railway Road,,,Dalkey,Co. Dublin,Dalkey Pharmacy Ltd,,"3 Railway Road
Dalkey, Co. Dublin"
5010,Adam's Pharmacy Limited,11 Main Street,,,Raheny,Dublin 5,Adam's Pharmacy Limited,D05 TF40,"11 Main Street
Raheny, Dublin 5 D05 TF40"
5013,Banks' Pharmacy,195 Philipsburgh Avenue,,,Fairview,Dublin 3,Deborah O'Donoghue,,"195 Philipsburgh Avenue
Fairview, Dublin 3"
5014,LloydsPharmacy,"2, Kilbarrack Shopping Centre",,,Kilbarrack,Dublin 5,Lloydspharmacy Ireland Limited,,"2, Kilbarrack Shopping Centre
Kilbarrack, Dublin 5"
5016,LloydsPharmacy,Aylesbury Shopping Centre,,,Tallaght,Dublin 24,Lloydspharmacy Ireland Limited,,"Aylesbury Shopping Centre
Tallaght, Dublin 24"
5017,Bhagwan's Pharmacy,Ballinteer Road,,,Dundrum,Dublin 16,Bhagwan's Pharmacy Limited,,"Ballinteer Road
Dundrum, Dublin 16"
5019,A. C. Boles ,390 South Circular Road,,,Dolphins Barn,Dublin 8,A.C. Boles Unlimited Company,,"390 South Circular Road
Dolphins Barn, Dublin 8"
5020,A. C. Boles,20 Lower Drumcondra Road,,,Drumcondra,Dublin 9,A.C. Boles Unlimited Company,,"20 Lower Drumcondra Road
Drumcondra, Dublin 9"
5022,McCauley Health & Beauty Pharmacy,65/66 Glasthule Road,,,Dun Laoghaire,Co. Dublin,Sam McCauley Chemists (Glasthule) Limited,,"65/66 Glasthule Road
Dun Laoghaire, Co. Dublin"
5025,Evelyn Bradley Limited,48 St. Brigid's Road,,,Artane,Dublin 5,"	Evelyn Bradley Limited",,"48 St. Brigid's Road
Artane, Dublin 5"
5026,Brady's Pharmacy,12 Upper Camden Street,,,,Dublin 2,Figurate Limited,,"12 Upper Camden Street
Dublin 2"
5029,Meagher's Chemist,69 Ranelagh Village,,,Ranelagh,Dublin 6,O'Hagan's Pharmacy (Ranelagh) Limited,,"69 Ranelagh Village
Ranelagh, Dublin 6"
5030,John Byrne Chemist Ltd,4 Merrion Road,,,Ballsbridge,Dublin 4,John Byrne Chemists (Ballsbridge) Ltd,,"4 Merrion Road
Ballsbridge, Dublin 4"
5032,LloydsPharmacy,103a New Cabra Road,,,Cabra,Dublin 7,Lloydspharmacy Ireland Limited,,"103a New Cabra Road
Cabra, Dublin 7"
5034,Haven Pharmacy Cassidy's,449 South Circular Road,,,Rialto,Dublin 8,P. Cassidy (Rialto) Limited,,"449 South Circular Road
Rialto, Dublin 8"
5035,Haven Pharmacy Cassidy's,Unit 3,Chandlers Guild,,James's Street,Dublin 8,P. Cassidy (James Street) Limited,,"Unit 3
Chandlers Guild
James's Street, Dublin 8"
5036,Chamber's Pharmacy,127 Ballymun Road,,,Glasnevin,Dublin 9,L.W. Enterprises Limited,,"127 Ballymun Road
Glasnevin, Dublin 9"
5037,Aileen Good Life Pharmacy ,Supervalu Shopping Centre,Sundrive Road,,Kimmage,Dublin 6W,Shopping Centre Pharmacy Limited,,"Supervalu Shopping Centre
Sundrive Road
Kimmage, Dublin 6W"
5039,Mulvey's Pharmacy,2 Sandyford Village,,,Sandyford,Dublin 18,Hayes & Mulvey Limited,,"2 Sandyford Village
Sandyford, Dublin 18"
5040,Collis Pharmacy,350 North Circular Road,,,Phibsboro,Dublin 7,Collis Pharmacies Limited,,"350 North Circular Road
Phibsboro, Dublin 7"
5041,Conefrey's CarePlus Pharmacy,136 Pearse Street,,,,Dublin 2,Conefrey's Pharmacy Limited,,"136 Pearse Street
Dublin 2"
5047,Costello's Late Night Pharmacy,25 Marino Mart,,,Marino,Dublin 3,Marino Pharmacy Limited ,,"25 Marino Mart
Marino, Dublin 3"
5048,St. Gabriel's Pharmacy,28 St. Gabriel's Road,,,Clontarf,Dublin 3,St. Gabriel's Pharmacy Limited,,"28 St. Gabriel's Road
Clontarf, Dublin 3"
5052,McCartan's Pharmacy Fairview,34 Fairview Strand,,,Fairview,Dublin 3,"M. Davis & Co., Limited",,"34 Fairview Strand
Fairview, Dublin 3"
5053,LloydsPharmacy,4 Fitzmaurice Road,,,Glasnevin,Dublin 11,Lloydspharmacy Ireland Limited,,"4 Fitzmaurice Road
Glasnevin, Dublin 11"
5054,Adrian Dunne Pharmacy,394 Collins Avenue,,,Whitehall,Dublin 9,Devines Pharmacy Limited,,"394 Collins Avenue
Whitehall, Dublin 9"
5056,LloydsPharmacy,Northside Shopping Centre,,,Coolock,Dublin 17,Lloydspharmacy Ireland Limited,,"Northside Shopping Centre
Coolock, Dublin 17"
5059,Doran's Pharmacy Limited,Ballybrack Shopping Centre,Churchview Road,,Ballybrack,Co. Dublin,Doran's Pharmacy Limited,,"Ballybrack Shopping Centre
Churchview Road
Ballybrack, Co. Dublin"
5063,LloydsPharmacy,53 Kilbarrack Road,,,Kilbarrack,Dublin 5,Lloydspharmacy Ireland Limited,,"53 Kilbarrack Road
Kilbarrack, Dublin 5"
5065,LloydsPharmacy,"39, Stoneybatter",,,Stoneybatter,Dublin 7,Lloydspharmacy Ireland Limited,,"39, Stoneybatter
Stoneybatter, Dublin 7"
5067,Haven Pharmacy Errigal,16 Errigal Road,,,Drimnagh,Dublin 12,Errigal Pharmacy Limited,,"16 Errigal Road
Drimnagh, Dublin 12"
5073,Foley's Pharmacy,136 Parnell Street,,,,Dublin 1,Parnell Street Pharmacy Ltd,,"136 Parnell Street
Dublin 1"
5080,Glenview Pharmacy Limited,192 Glenview Park,,,Tallaght,Dublin 24,Glenview Pharmacy Limited,,"192 Glenview Park
Tallaght, Dublin 24"
5087,LloydsPharmacy,Ashleaf Shopping Centre,,,Crumlin Cross,Dublin 12,Lloydspharmacy Ireland Limited,,"Ashleaf Shopping Centre
Crumlin Cross, Dublin 12"
5096,Haven Pharmacy Hickey's,Main Street,,,Rush,Co. Dublin,Denis Hickey Ltd,,"Main Street
Rush, Co. Dublin"
5097,Adrian Dunne Pharmacy,"Unit 4, Tesco Shopping Centre",Hillcrest,,Lucan,Co. Dublin,Irwin's Pharmacy Limited,,"Unit 4, Tesco Shopping Centre
Hillcrest
Lucan, Co. Dublin"
5098,Morgan's Pharmacy,2-4 Fairview Strand,,,Fairview,Dublin 3,Saskar Holdings Limited,,"2-4 Fairview Strand
Fairview, Dublin 3"
5100,Homepharm Limited,45a Homefarm Road,,,Drumcondra,Dublin 9,Homepharm Limited,D09 V065,"45a Homefarm Road
Drumcondra, Dublin 9 D09 V065"
5102,Gormley Pharmacy,5 Nolan Avenue,,,Churchtown,Dublin 14,Gormley Medicare (Ireland) Limited,,"5 Nolan Avenue
Churchtown, Dublin 14"
5103,Burke's  Pharmacy,21-23 Ranelagh,,,Ranelagh,Dublin 6,Falcon Pharmacies Limited,,"21-23 Ranelagh
Ranelagh, Dublin 6"
5104,McCauley Health & Beauty Pharmacy,"Unit 6, Bawnogue Shopping Centre",Bawnogue,,Clondalkin,Dublin 22,Karas Medical Hall Ltd,,"Unit 6, Bawnogue Shopping Centre
Bawnogue
Clondalkin, Dublin 22"
5109,Magner's Pharmacy,175 Howth Road,,,Killester,Dublin 3,Kaduna Company Limited,,"175 Howth Road
Killester, Dublin 3"
5111,Haven Pharmacy Brennans,Taylors Lane,,,Ballyboden,Dublin 16,Ballyboden Pharmacy Limited,,"Taylors Lane
Ballyboden, Dublin 16"
5113,LloydsPharmacy,Superquinn Shopping Centre,,,Knocklyon,Dublin 16,Lloydspharmacy Ireland Limited,,"Superquinn Shopping Centre
Knocklyon, Dublin 16"
5117,Life Pharmacy,241 Swords Road,,,Santry,Dublin 9,Cherrywell Limited,,"241 Swords Road
Santry, Dublin 9"
5118,"Pharmacy Department, Bon Secours Hospital",,,,Glasnevin,Dublin 9,Bon Secours Health System Company Limited By Guarantee,,"Glasnevin, Dublin 9"
5120,Leech Pharmacy,43 Ranelagh,,,Ranelagh,Dublin 6,Mary Leech,,"43 Ranelagh
Ranelagh, Dublin 6"
5121,Leonard's Corner Pharmacy Limited,106 South Circular Road,,,,Dublin 8,Leonard's Corner Pharmacy Limited,,"106 South Circular Road
Dublin 8"
5123,LloydsPharmacy,413 Howth Road,,,Raheny,Dublin 5,Lloydspharmacy Ireland Limited,,"413 Howth Road
Raheny, Dublin 5"
5128,Dunville Pharmacy,32-34 Dunville Avenue,,,Ranelagh,Dublin 6,Dunville Pharmacy Limited,,"32-34 Dunville Avenue
Ranelagh, Dublin 6"
5129,Haven Pharmacy Loobys,42 Manor Road,,,Palmerstown,Dublin 20,Hankirst Retail Limited,,"42 Manor Road
Palmerstown, Dublin 20"
5130,Finnegan's Pharmacy Limited,41 Sallynoggin Road,,,Dun Laoghaire,Co. Dublin,Finnegan Pharmacy Ltd,,"41 Sallynoggin Road
Dun Laoghaire, Co. Dublin"
5131,Haven Pharmacy McLaughlins,153 Drimnagh Road,,,Drimnagh,Dublin 12,Don McLaughlin and Paula Sheerin,,"153 Drimnagh Road
Drimnagh, Dublin 12"
5132,Haven Pharmacy Dohertys,2 Shantalla Road,,,Beaumont,Dublin 9,Doherty's Pharmacy Ltd,,"2 Shantalla Road
Beaumont, Dublin 9"
5135,Mackens Pharmacy Ltd,41 Main Street,,,Blackrock,Co. Dublin,Mackens Pharmacy Limited,,"41 Main Street
Blackrock, Co. Dublin"
5136,Allcare Pharmacy,6 Thorncastle Street,,,Ringsend,Dublin 4,Martin's Pharmacy (Ringsend) Limited,,"6 Thorncastle Street
Ringsend, Dublin 4"
5137,Maxwell's Pharmacy,28 Castle Street,,,Dalkey,Co. Dublin,O'Lublai Pharmacy Limited,,"28 Castle Street
Dalkey, Co. Dublin"
5139,Meagher's Chemist,10 Upper Baggot Street,,,,Dublin 4,O'Hagan Baggot Street Chemist Limited,,"10 Upper Baggot Street
Dublin 4"
5141,Moran's Pharmacy,Firhouse Supervalu Shopping Centre,Firhouse,,Tallaght,Dublin 24,Dermot Moran (Firhouse) Ltd,,"Firhouse Supervalu Shopping Centre
Firhouse
Tallaght, Dublin 24"
5143,McMeel's Pharmacy,27 Strand Street,,,Skerries,Co. Dublin,Healthy Herbal Options Limited,,"27 Strand Street
Skerries, Co. Dublin"
5145,Allcare Pharmacy,63 Lower Mounttown,,,Dun Laoghaire,Co. Dublin,Mounttown Pharmacy Limited,,"63 Lower Mounttown
Dun Laoghaire, Co. Dublin"
5147,Allcare Pharmacy,50 Lower Dorset Street,,,,Dublin 1,Cooladine Limited,,"50 Lower Dorset Street
Dublin 1"
5148,Pharmacy O'Regan,36a Talbot Street,,,,Dublin 1,Les Buissonnets Ltd,,"36a Talbot Street
Dublin 1"
5149,Murray's Pharmacy,56 Serpentine Avenue,,,Ballsbridge,Dublin 4,Peerview Limited,,"56 Serpentine Avenue
Ballsbridge, Dublin 4"
5151,Liam Murray Chemists Limited,20/21 Talbot Street,,,,Dublin 1,Liam Murray Chemists Limited,,"20/21 Talbot Street
Dublin 1"
5152,Moore's Pharmacy,2 St. Agnes Road,,,Crumlin,Dublin 12,Optipharm Limited,,"2 St. Agnes Road
Crumlin, Dublin 12"
5154,LloydsPharmacy,24 Stillorgan Shopping Centre,,,Stillorgan,Co. Dublin,Lloydspharmacy Ireland Limited,,"24 Stillorgan Shopping Centre
Stillorgan, Co. Dublin"
5156,LloydsPharmacy,Neilstown Shopping Centre,,,Clondalkin,Dublin 22,Lloydspharmacy Ireland Limited,,"Neilstown Shopping Centre
Clondalkin, Dublin 22"
5157,Newtownpark Pharmacy ,3 Newtown Park,,,Blackrock,Co. Dublin,Newtownpark Pharmacy Limited,,"3 Newtown Park
Blackrock, Co. Dublin"
5162,McCartan's Pharmacy,Unit 3,Bayside Shopping Centre,,Bayside,Dublin 13,Stationview Construction Ltd,,"Unit 3
Bayside Shopping Centre
Bayside, Dublin 13"
5163,Fortfield Pharmacy,48 Fortfield Park,,,Terenure,Dublin 6W,Fortfield Pharmacy Limited,D6W K504,"48 Fortfield Park
Terenure, Dublin 6W D6W K504"
5166,O'Connor's Pharmacy,4/6 Bath Avenue,,,Sandymount,Dublin 4,Scriptus Limited,,"4/6 Bath Avenue
Sandymount, Dublin 4"
5167,Magner's Pharmacy,16 Kincora Avenue,,,Clontarf,Dublin 3,Magner's Pharmacy Clontarf Limited,,"16 Kincora Avenue
Clontarf, Dublin 3"
5172,Saint Patrick's Pharmacy Ltd,St. Patrick's Road,,,Greenhills,Dublin 12,Saint Patrick's Pharmacy Ltd,,"St. Patrick's Road
Greenhills, Dublin 12"
5173,LloydsPharmacy,Artane Castle  Shopping Centre,Kilmore Road,,Artane,Dublin 5,Lloydspharmacy Ireland Limited,,"Artane Castle  Shopping Centre
Kilmore Road
Artane, Dublin 5"
5175,Your Local Pharmacy,Unit 6 Supervalu S. Centre,,,Ballinteer Avenue,Dublin 16,Parterre Limited,,"Unit 6 Supervalu S. Centre
Ballinteer Avenue, Dublin 16"
5177,LloydsPharmacy,Main Street,,,Tallaght,Dublin 24,Lloydspharmacy Ireland Limited,,"Main Street
Tallaght, Dublin 24"
5179,"Pharmacy Department, St. Vincent's Private Hospital",Pharmacy Department,St Vincent's Private Hospital,,Merrion Road,Dublin 4,St. Vincent's Healthcare Group,,"Pharmacy Department
St Vincent's Private Hospital
Merrion Road, Dublin 4"
5180,O'Mahony and Ennis Pharmacy,4 Upper Georges Street,,,Dun Laoghaire,Co. Dublin,Georges Street Pharmacy Ltd,,"4 Upper Georges Street
Dun Laoghaire, Co. Dublin"
5181,LloydsPharmacy,,Superquinn Shopping Centre,,Blanchardstown,Dublin 15,Lloydspharmacy Ireland Limited,,"Superquinn Shopping Centre
Blanchardstown, Dublin 15"
5186,Declan O'Sullivan Pharmacy Limited,Ballymount Road,,,Walkinstown,Dublin 12,Declan O'Sullivan Pharmacy Ltd,,"Ballymount Road
Walkinstown, Dublin 12"
5187,Pelly's Pharmacy Ltd,26 Fassaugh Avenue,,,Cabra West,Dublin 7,Pelly's Pharmacy Ltd,,"26 Fassaugh Avenue
Cabra West, Dublin 7"
5190,Price's Medical Hall,Undertaking to High Court to keep Price’s Medical Hall closed until further Order of the High Court,26 Clare Street,,Dublin 2,,Prices Pharmacy Limited,,"Undertaking to High Court to keep Price’s Medical Hall closed until further Order of the High Court
26 Clare Street
Dublin 2"
5192,Allcare Pharmacy,157 Killester Avenue,,,Killester,Dublin 5,Aire Pharmacy Limited,,"157 Killester Avenue
Killester, Dublin 5"
5193,Quinn's Medical Hall (Malahide) Limited,1a Church Road,,,Malahide,Co. Dublin,Quinn's Medical Hall (Malahide) Limited,,"1a Church Road
Malahide, Co. Dublin"
5194,LloydsPharmacy,Main Street,,,Shankill,Co. Dublin,Lloydspharmacy Ireland Limited,,"Main Street
Shankill, Co. Dublin"
5195,Haven Pharmacy Raffertys,Stillorgan S. Centre,,,Stillorgan,Co. Dublin,Rafferty Chemists ltd,,"Stillorgan S. Centre
Stillorgan, Co. Dublin"
5196,Haven Pharmacy Raffertys,Unit 6,Cornelscourt S. Centre,,Cornelscourt,Dublin 18,Rafferty Chemists ltd,,"Unit 6
Cornelscourt S. Centre
Cornelscourt, Dublin 18"
5197,Reidy's Pharmacy Ltd,Main Street,,,Rathcoole,Co. Dublin,Reidy's Pharmacy Ltd,,"Main Street
Rathcoole, Co. Dublin"
5201,Roches Chemist,165 Upper Rathmines Road,,,Rathmines,Dublin 6,Patrick Sweeney (Chemists) Limited,,"165 Upper Rathmines Road
Rathmines, Dublin 6"
